SMILES,Name,ID,Source,HeavyAtomCount,MolWt,MolLogP,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumRotatableBonds,NumAromaticRings,TPSA
COC(=O)/C=C/C(=O)N[C@H]1C[C@@]23C=C[C@]1(OC)[C@@H]1Oc4c(O)ccc5c4C12CCN(C)[C@@H]3C5,CHEMBL606709,CHEMBL606709,ChEMBL,33,452.507,1.210,2,8,7,2,4,1,97.330
CC(c1ccc(Cl)cc1)c1c2n(c3cc(F)cc(S(C)(=O)=O)c13)CCC2CC(=O)O,CHEMBL406648,CHEMBL406648,ChEMBL,30,449.931,4.951,1,5,4,1,5,3,76.370
C[C@@]1(O)[C@@H](CO)OC(n2cnc3c(NC4CCCC4)ncnc32)[C@@H]1O,CHEMBL611115,CHEMBL611115,ChEMBL,25,349.391,0.182,4,9,9,4,4,2,125.550
C[n+]1c2ccccc2c(Nc2ccc(F)cc2F)c2[nH]c3ccccc3c21,CHEMBL4116115,CHEMBL4116115,ChEMBL,27,360.387,5.321,2,3,1,2,2,5,31.700
COc1ccc(/N=C(C)C(C)=Nc2ccc(OC)cc2)cc1,CHEMBL608409,CHEMBL608409,ChEMBL,22,296.370,4.589,0,4,4,0,5,2,43.180
C=C1/C(=CC=C2/CCC[C@]3(C)C([C@H](C)CCCS(C)(=O)=O)=CC[C@@H]23)C[C@@H](O)C[C@@H]1O,CHEMBL1094634,CHEMBL1094634,ChEMBL,30,434.642,4.508,2,4,4,2,6,0,74.600
CC1=C(C#N)c2nc(N)c(C#N)c(C)c2/C1=C/c1ccc(-c2ccccc2C(=O)O)o1,CHEMBL1088591,CHEMBL1088591,ChEMBL,31,408.417,4.653,3,7,6,2,3,3,136.930
Cc1ccccc1-c1ncnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL612143,CHEMBL612143,ChEMBL,25,342.355,0.413,3,8,8,3,3,3,113.520
CC(C)c1ccc(-c2cc(-c3ccc4c(c3)CCCC4)nc(Cl)c2C#N)cc1,CHEMBL1078513,CHEMBL1078513,ChEMBL,28,386.926,6.943,0,2,2,0,3,3,36.680
CC1C2c3ccccc3C(c3ccccc32)C1CN,CHEMBL1213309,CHEMBL1213309,ChEMBL,19,249.357,3.488,2,1,1,1,1,2,26.020
Nc1ccc2c(O)c(/N=N/c3ccc4c(O)cc(S(=O)(=O)O)cc4c3)c(S(=O)(=O)O)cc2c1,CHEMBL1092443,CHEMBL1092443,ChEMBL,33,489.487,3.895,6,11,9,5,4,4,199.940
CC(C)CCNc1cc(Cl)nc(SC(C(=O)O)c2cccc3ccccc23)n1,CHEMBL1089317,CHEMBL1089317,ChEMBL,28,415.946,5.659,2,5,5,2,8,3,75.110
O=C(CCCCC(c1ccccc1)c1ccccc1)N1CCN(C/C=C/c2ccccc2)CC1,CHEMBL1088309,CHEMBL1088309,ChEMBL,34,452.642,6.237,0,3,2,0,10,3,23.550
O=C(NCc1ccc(OCC2CCCCC2)c(Cl)c1)c1ccc(OP(=O)(O)O)cc1,CHEMBL1160322,CHEMBL1160322,ChEMBL,30,453.859,4.701,3,7,4,3,8,2,105.090
CCCN(CCC)CCCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,CHEMBL532645,CHEMBL532645,ChEMBL,31,442.047,7.143,1,4,4,1,12,3,37.390
N#Cc1cc(F)cc(C(=O)Nc2ccccn2)c1,CHEMBL1209204,CHEMBL1209204,ChEMBL,18,241.225,2.345,1,4,3,1,2,2,65.780
CC1(C)O[C@H]2[C@@H](CC(=O)NCCc3c[nH]c4ccccc34)O[C@@H](CNCCNc3ncccn3)[C@H]2O1,CHEMBL1098866,CHEMBL1098866,ChEMBL,36,494.596,1.996,4,10,8,4,11,3,122.420
O=C(COc1cccc(F)c1C(=O)NCCCCO)N[C@H](CO)Cc1ccccc1,CHEMBL1088782,CHEMBL1088782,ChEMBL,30,418.465,1.427,4,7,5,4,12,2,107.890
COc1cc2c(cc1Br)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,CHEMBL1077878,CHEMBL1077878,ChEMBL,22,365.311,4.675,1,2,2,1,1,1,29.460
C[C@H]1CC[C@H]2[C@@H](C=C[C@@H]3COC(=O)[C@@]32C)C1,CHEMBL1077021,CHEMBL1077021,ChEMBL,16,220.312,2.788,0,2,2,0,0,0,26.300
C(=NNC1=NCCCN1)c1ccc2nc(-c3ccccc3)cn2c1,CHEMBL1161178,CHEMBL1161178,ChEMBL,24,318.384,2.274,2,6,6,2,3,3,66.080
Nc1nccc(-c2cnc3ccccc3c2)n1,CHEMBL1075896,CHEMBL1075896,ChEMBL,17,222.251,2.274,2,4,4,1,1,3,64.690
CCN(CC)CC(=O)Nc1ccc2ncn(CCc3c[nH]c4ccccc34)c(=O)c2c1,CHEMBL1098309,CHEMBL1098309,ChEMBL,31,417.513,3.401,2,7,5,2,8,4,83.020
COc1ccc2c(Nc3c(Cl)cncc3Cl)cc(=O)oc2c1OCCCCCCCC(=O)O,CHEMBL1099322,CHEMBL1099322,ChEMBL,33,495.359,6.051,2,8,7,2,12,3,110.890
C[C@]12O[C@@H]3OC(=O)[C@H]1[C@H](C[C@@H]2O)[C@H]3CO,CHEMBL1096298,CHEMBL1096298,ChEMBL,15,214.217,-0.736,2,5,5,2,1,0,75.990
CC[C@H](COc1nc(N)c2ncn(C3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1)c1ccccc1,CHEMBL612215,CHEMBL612215,ChEMBL,30,415.450,0.593,5,10,10,4,7,3,148.770
N=C(N)Nc1ccc(CCCCCCc2ccc(NC(=N)N)cc2)cc1,CHEMBL1161839,CHEMBL1161839,ChEMBL,26,352.486,3.643,8,6,2,6,9,2,123.800
CC(=O)NCC[C@@H](NS(=O)(=O)c1ccc(Br)cc1)C(=O)NO,CHEMBL1093690,CHEMBL1093690,ChEMBL,22,394.247,0.128,4,8,5,4,7,1,124.600
O=C(Nc1ccccc1)Nc1n[nH]c2cc(Cl)c(-c3ccccc3)cc12,CHEMBL1092134,CHEMBL1092134,ChEMBL,26,362.820,5.527,3,5,2,3,3,4,69.810
Nc1nn(C2O[C@H](CO)[C@@H](O)[C@H]2O)c2nc[nH]c(=O)c12,CHEMBL604773,CHEMBL604773,ChEMBL,20,283.244,-2.687,6,10,9,5,2,2,159.510
CN(C)CCCc1cn(Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2)nn1,CHEMBL4116089,CHEMBL4116089,ChEMBL,26,356.558,4.416,0,4,4,0,6,2,33.950
O=S(=O)(c1ccc(Cl)cc1)C1CCOc2c(F)ccc(F)c21,CHEMBL1093624,CHEMBL1093624,ChEMBL,22,344.766,3.916,0,3,3,0,2,2,43.370
C=C1C(=O)O[C@@H]2C[C@]34O[C@H]3CC[C@H](C)[C@@]4(C)C[C@]12O,CHEMBL1097906,CHEMBL1097906,ChEMBL,19,264.321,1.567,1,4,4,1,0,0,59.060
N[C@H](C(=O)N[C@H]1CCC(=O)N(CC(=O)O)C1=O)C1CCCN1,CHEMBL1094936,CHEMBL1094936,ChEMBL,22,312.326,-2.216,5,9,6,4,5,0,141.830
CC(NS(N)(=O)=O)c1csc2ccccc12,CHEMBL1088204,CHEMBL1088204,ChEMBL,16,256.352,1.755,3,4,3,2,3,2,72.190
NC(=O)c1cccc(NC(=O)CCCCC(=O)Nc2cccc(C(N)=O)c2)c1,CHEMBL1078223,CHEMBL1078223,ChEMBL,28,382.420,2.022,6,8,4,4,9,2,144.380
CCC(C)C1(CC(=O)O)OCCc2c1[nH]c1c(Cl)ccc(Cl)c21,CHEMBL1086957,CHEMBL1086957,ChEMBL,23,356.249,4.764,2,4,2,2,4,2,62.320
O=C(NCc1ccc(-c2ccc(Cl)cc2)cc1F)N1CCNCC1,CHEMBL1090397,CHEMBL1090397,ChEMBL,24,347.821,3.261,2,4,2,2,3,2,44.370
COc1ccc(C2NC(c3ccc(OC)cc3)C3CCCC2C3=NOCc2ccccc2)cc1,CHEMBL1080664,CHEMBL1080664,ChEMBL,34,456.586,6.079,1,5,5,1,7,3,52.080
O=C(/C=C/c1cccc([N+](=O)[O-])c1)c1ccc2ccccc2c1,CHEMBL1096286,CHEMBL1096286,ChEMBL,23,303.317,4.644,0,4,3,0,4,3,60.210
Cc1csc(COc2ccc(F)c(C(N)=O)c2F)n1,CHEMBL1096337,CHEMBL1096337,ChEMBL,19,284.287,2.408,2,4,4,1,4,2,65.210
